Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	0.08	0.000000	0.000000
D:	1.93	0.000000	0.000000
D:	3.83	0.000000	0.000000
D:	5.63	0.000000	0.000000
D:	7.35	0.000000	0.000000
D:	9.14	0.000000	0.000000
D:	11.23	0.000000	0.000000
D:	13.01	0.000000	0.000000
D:	14.99	0.000000	0.000000
D:	16.80	0.000000	0.000000
D:	18.55	0.000000	0.000000
D:	20.36	0.000000	0.000000
D:	22.11	0.000000	0.000000
D:	23.89	0.000000	0.000000
D:	25.64	0.000000	0.000000
D:	27.38	0.000000	0.000000
D:	29.16	0.000000	0.000000
D:	30.93	0.000000	0.000000
D:	32.78	0.000000	0.000000
D:	34.56	0.000000	0.000000
D:	36.30	0.000000	0.000000
D:	38.05	0.000000	0.000000
D:	39.78	0.000000	0.000000
D:	41.49	0.000000	0.000000
D:	43.24	0.000000	0.000000
D:	45.00	0.000000	0.000000
D:	46.79	0.000000	0.000000
D:	48.59	0.000000	0.000000
D:	50.43	0.000000	0.000000
D:	52.26	0.000000	0.000000
D:	54.04	0.000000	0.000000
D:	55.80	0.000000	0.000000
D:	57.55	0.000000	0.000000
D:	59.27	0.000000	0.000000
D:	61.05	0.000000	0.000000
D:	62.80	0.000000	0.000000
D:	64.58	0.000000	0.000000
D:	66.38	0.000000	0.000000
D:	68.22	0.000000	0.000000
D:	69.97	0.000000	0.000000
D:	71.65	0.000000	0.000000
D:	73.43	0.000000	0.000000
D:	75.26	0.000000	0.000000
D:	77.03	0.000000	0.000000
D:	78.87	0.000000	0.000000
D:	80.71	0.000000	0.000000
D:	82.65	0.000000	0.000000
D:	84.51	0.000000	0.000000
D:	86.29	0.000000	0.000000
D:	88.02	0.000000	0.000000
D:	89.85	0.000000	0.000000
D:	91.79	0.000000	0.000000
D:	93.55	0.000000	0.000000
D:	95.31	0.000000	0.000000
D:	97.05	0.000000	0.000000
D:	98.89	0.000000	0.000000
D:	100.68	0.000000	0.000000
D:	102.36	0.000000	0.000000
D:	104.08	0.000000	0.000000
D:	105.81	0.000000	0.000000
D:	107.47	0.000000	0.000000
D:	109.21	0.000000	0.000000
D:	111.22	0.000000	0.000000
D:	113.21	0.000000	0.000000
D:	115.15	0.000000	0.000000
D:	117.05	0.000000	0.000000
D:	118.82	0.000000	0.000000
D:	120.58	0.000000	0.000000
D:	122.27	0.000000	0.000000
D:	124.02	0.000000	0.000000
D:	125.80	0.000000	0.000000
D:	127.75	0.000000	0.000000
D:	129.74	0.000000	0.000000
D:	131.77	0.000000	0.000000
D:	133.82	0.000000	0.000000
D:	135.64	0.000000	0.000000
D:	137.37	0.000000	0.000000
D:	139.18	0.000000	0.000000
D:	140.98	0.000000	0.000000
D:	142.87	0.000000	0.000000
D:	144.62	0.000000	0.000000
D:	146.46	0.000000	0.000000
D:	148.28	0.000000	0.000000
D:	150.11	0.000000	0.000000
D:	151.93	0.000000	0.000000
D:	153.78	0.000000	0.000000
D:	155.58	0.000000	0.000000
D:	157.51	0.000000	0.000000
D:	159.53	0.000000	0.000000
D:	161.37	0.000000	0.000000
D:	163.23	0.000000	0.000000
D:	165.07	0.000000	0.000000
D:	166.88	0.000000	0.000000
D:	168.58	0.000000	0.000000
D:	170.34	0.000000	0.000000
D:	172.10	0.000000	0.000000
D:	173.81	0.000000	0.000000
D:	175.53	0.000000	0.000000
D:	177.23	0.000000	0.000000
D:	179.03	0.000000	0.000000
D:	180.77	0.000000	0.000000
D:	182.56	0.000000	0.000000
D:	184.35	0.000000	0.000000
D:	186.16	0.000000	0.000000
D:	187.95	0.000000	0.000000
D:	189.77	0.000000	0.000000
D:	191.52	0.000000	0.000000
D:	193.33	0.000000	0.000000
D:	195.15	0.000000	0.000000
D:	196.89	0.000000	0.000000
D:	198.68	0.000000	0.000000
D:	200.44	0.000000	0.000000
D:	202.44	0.000000	0.000000
D:	204.28	0.000000	0.000000
D:	206.06	0.000000	0.000000
D:	207.98	0.000000	0.000000
D:	209.79	0.000000	0.000000
D:	211.66	0.000000	0.000000
D:	213.46	0.000000	0.000000
D:	215.33	0.000000	0.000000
D:	217.17	0.000000	0.000000
D:	218.97	0.000000	0.000000
D:	220.79	0.000000	0.000000
D:	222.56	0.000000	0.000000
D:	224.35	0.000000	0.000000
D:	226.16	0.000000	0.000000
D:	227.88	0.000000	0.000000
D:	229.63	0.000000	0.000000
D:	231.35	0.000000	0.000000
D:	233.18	0.000000	0.000000
D:	234.90	0.000000	0.000000
D:	236.90	0.000000	0.000000
D:	238.75	0.000000	0.000000
D:	240.53	0.000000	0.000000
D:	242.22	0.000000	0.000000
D:	243.98	0.000000	0.000000
D:	245.77	0.000000	0.000000
D:	247.58	0.000000	0.000000
D:	249.34	0.000000	0.000000
D:	251.20	0.000000	0.000000
D:	253.02	0.000000	0.000000
D:	254.77	0.000000	0.000000
D:	256.51	0.000000	0.000000
D:	258.33	0.000000	0.000000
D:	260.10	0.000000	0.000000
D:	261.86	0.000000	0.000000
D:	263.58	0.000000	0.000000
D:	265.33	0.000000	0.000000
D:	267.18	0.000000	0.000000
D:	268.99	0.000000	0.000000
D:	270.77	0.000000	0.000000
D:	272.52	0.000000	0.000000
D:	274.34	0.000000	0.000000
D:	276.18	0.000000	0.000000
D:	278.05	0.000000	0.000000
D:	279.77	0.000000	0.000000
D:	281.61	0.000000	0.000000
D:	283.46	0.000000	0.000000
D:	285.22	0.000000	0.000000
D:	287.00	0.000000	0.000000
D:	288.76	0.000000	0.000000
D:	290.44	0.000000	0.000000
D:	292.32	0.000000	0.000000
D:	294.16	0.000000	0.000000
D:	295.83	0.000000	0.000000
D:	297.60	0.000000	0.000000
D:	299.41	0.000000	0.000000
D:	301.18	0.000000	0.000000
D:	302.91	0.000000	0.000000
D:	304.64	0.000000	0.000000
D:	306.44	0.000000	0.000000
D:	308.31	0.000000	0.000000
D:	310.18	0.000000	0.000000
D:	311.91	0.000000	0.000000
D:	313.78	0.000000	0.000000
D:	315.54	0.000000	0.000000
D:	317.36	0.000000	0.000000
D:	319.10	0.000000	0.000000
D:	320.87	0.000000	0.000000
