Syntax version=4
Sun Feb 01 15:04:19 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	0.07	12.206364	11.536896
D:	2.06	12.206364	11.536896
D:	3.81	12.206364	11.536896
D:	5.79	12.206364	11.536896
D:	7.61	12.206364	11.536896
D:	9.35	12.206302	11.536896
D:	11.39	12.206302	11.340030
D:	13.23	12.206302	11.340030
D:	15.05	12.206302	11.340030
D:	16.76	12.206302	11.340030
D:	18.49	12.206302	11.340030
D:	20.22	12.206289	11.300657
D:	21.95	12.206289	11.300657
D:	23.85	12.206289	11.300657
D:	25.60	12.206289	11.300657
D:	27.31	12.206289	11.300657
D:	29.05	12.206286	11.300657
D:	30.80	12.206286	11.536909
D:	32.52	12.206286	11.536909
D:	34.24	12.206286	11.536909
D:	35.96	12.206286	11.536909
D:	37.66	12.206286	11.536909
D:	39.42	12.206286	11.536909
D:	41.22	12.206286	11.340033
D:	42.95	12.206286	11.340033
D:	44.66	12.206286	11.340033
D:	46.38	12.206286	11.340033
D:	48.12	12.206286	11.340033
D:	49.82	12.450412	11.340033
D:	51.52	12.450412	11.300657
D:	53.23	12.450412	11.300657
D:	54.95	12.450412	11.300657
D:	56.78	12.450412	11.300657
D:	58.49	12.450412	11.300657
D:	60.18	12.255112	11.292782
D:	61.95	12.255112	11.292782
D:	63.66	12.255112	11.292782
D:	65.34	12.255112	11.292782
D:	67.08	12.255112	11.292782
D:	68.78	12.255112	11.292782
D:	70.46	12.216051	11.291207
D:	72.25	12.216051	11.291207
D:	74.03	12.216051	11.291207
D:	75.76	12.216051	11.291207
D:	77.53	12.216051	11.291207
D:	79.21	12.208239	11.291207
D:	80.97	12.208239	11.535019
D:	82.68	12.208239	11.535019
D:	84.38	12.208239	11.535019
D:	86.10	12.208239	11.535019
D:	88.01	12.208239	11.535019
D:	89.85	12.206676	11.535019
D:	91.81	12.206676	11.339655
D:	93.80	12.206676	11.339655
D:	95.61	12.206676	11.339655
D:	97.29	12.206676	11.339655
D:	98.99	12.206364	11.339655
D:	100.76	12.206364	11.300582
D:	102.48	12.206364	11.300582
D:	104.23	12.206364	11.300582
D:	106.21	12.206364	11.300582
D:	108.06	12.206364	11.300582
D:	109.89	12.206302	11.300582
D:	111.65	12.206302	11.536894
D:	113.34	12.206302	11.536894
D:	115.09	12.206302	11.536894
D:	116.76	12.206302	11.536894
D:	118.62	12.206302	11.536894
D:	120.40	12.206289	11.340030
D:	122.19	12.206289	11.340030
D:	124.04	12.206289	11.340030
D:	125.76	12.206289	11.340030
D:	127.42	12.206289	11.340030
D:	129.17	12.206286	11.340030
D:	130.86	12.206286	11.300657
D:	132.58	12.206286	11.300657
D:	134.36	12.206286	11.300657
D:	136.20	12.206286	11.300657
D:	137.95	12.206286	11.300657
D:	139.83	12.206286	11.300657
D:	141.57	12.206286	11.536909
D:	143.28	12.206286	11.536909
D:	145.00	12.206286	11.536909
D:	146.76	12.206286	11.536909
D:	148.47	12.206286	11.536909
D:	150.30	12.206286	11.340033
D:	151.99	12.206286	11.340033
D:	153.75	12.206286	11.340033
D:	155.44	12.206286	11.340033
D:	157.25	12.206286	11.340033
D:	158.96	12.206286	11.340033
D:	160.65	12.206286	11.300657
D:	162.41	12.206286	11.300657
D:	164.18	12.206286	11.300657
D:	166.29	12.206286	11.300657
D:	168.16	12.206286	11.300657
D:	169.86	12.206286	11.300657
D:	171.72	12.206286	11.292782
D:	173.68	12.206286	11.292782
D:	175.48	12.206286	11.292782
D:	177.22	12.206286	11.292782
D:	179.00	12.206286	11.292782
D:	180.76	12.206286	11.291207
D:	182.49	12.206286	11.291207
D:	184.25	12.206286	11.291207
D:	185.96	12.206286	11.291207
D:	187.67	12.206286	11.291207
D:	189.54	12.206286	11.291207
D:	191.33	12.206286	11.535019
D:	193.16	12.206286	11.535019
D:	194.95	12.206286	11.535019
D:	196.76	12.206286	11.535019
D:	198.51	12.206286	11.535019
D:	200.21	12.206286	11.339655
D:	201.95	12.206286	11.339655
D:	203.66	12.206286	11.339655
D:	205.36	12.206286	11.339655
D:	207.36	12.206286	11.339655
D:	209.21	12.206286	11.339655
D:	210.95	12.206286	11.300582
D:	212.90	12.206286	11.300582
D:	214.56	12.206286	11.300582
D:	216.27	12.206286	11.300582
D:	217.95	12.206286	11.300582
D:	219.64	12.206286	11.300582
D:	221.36	12.206286	11.536894
D:	223.20	12.206286	11.536894
D:	225.04	12.206286	11.536894
D:	226.81	12.206286	11.536894
D:	228.66	12.206286	11.536894
D:	230.41	12.206286	11.340030
D:	232.35	12.206286	11.340030
D:	234.09	12.206286	11.340030
D:	235.76	12.206286	11.340030
D:	237.46	12.206286	11.340030
D:	239.38	12.206286	11.340030
D:	241.25	12.206286	11.300657
D:	242.96	12.206286	11.300657
D:	245.04	12.206286	11.300657
D:	246.85	12.206286	11.300657
D:	248.83	12.206286	11.300657
D:	250.59	12.206286	11.536909
D:	252.43	12.206286	11.536909
D:	254.20	12.206286	11.536909
D:	256.10	12.206286	11.536909
D:	257.90	12.206286	11.536909
D:	259.61	12.450412	11.536909
D:	261.29	12.450412	11.340033
D:	262.99	12.450412	11.340033
D:	264.68	12.450412	11.340033
D:	266.39	12.450412	11.340033
D:	268.16	12.450412	11.340033
D:	269.99	12.255112	11.300657
D:	271.67	12.255112	11.300657
D:	273.48	12.255112	11.300657
D:	275.29	12.255112	11.300657
D:	277.11	12.255112	11.300657
D:	278.95	12.216051	11.300657
D:	280.66	12.216051	11.536909
D:	282.36	12.216051	11.536909
D:	284.14	12.216051	11.536909
D:	285.90	12.216051	11.536909
D:	287.64	12.216051	11.536909
D:	289.39	12.208239	11.536909
D:	291.27	12.208239	11.095907
D:	293.00	12.208239	11.095907
D:	294.75	12.208239	11.095907
D:	296.46	12.208239	11.095907
D:	298.18	12.208239	11.095907
D:	299.86	12.206676	11.095907
D:	301.54	12.206676	11.495958
D:	303.24	12.206676	11.495958
D:	304.95	12.206676	11.495958
D:	306.96	12.206676	11.495958
D:	308.67	12.206676	11.495958
